PT_19411_spr_mid_d	SRR34920260
PT_19411_spr_rec_d	SRR34919906
PT_19411_sum_ile_d	SRR34919905
PT_19411_sum_mid_d	SRR34919904
PT_19411_sum_rec_d	SRR34919903
PT_19412_aut_ile_d	SRR34919902
PT_19412_aut_mid_d	SRR34919901
PT_19412_aut_rec_d	SRR34919897
PT_19412_spr_ile_d	SRR34920259
PT_19412_spr_mid_d	SRR34920258
PT_19412_spr_rec_d	SRR34919896
PT_19412_sum_ile_d	SRR34920255
PT_19412_sum_mid_d	SRR34920254
PT_19412_sum_rec_d	SRR34920253
PT_19413_aut_ile_d	SRR34920252
PT_19413_aut_mid_d	SRR34920251
PT_19413_aut_rec_d	SRR34920250
PT_19413_spr_ile_d	SRR34920249
PT_19413_spr_mid_d	SRR34919894
PT_19413_spr_rec_d	SRR34919893
PT_19413_sum_ile_d	SRR34919892
PT_19413_sum_mid_d	SRR34919890
PT_19413_sum_rec_d	SRR34919889
PT_19414_aut_ile_d	SRR34919888
PT_19414_aut_mid_d	SRR34919887
PT_19414_aut_rec_d	SRR34919886
PT_19414_spr_ile_d	SRR34919885
PT_19414_spr_mid_d	SRR34919884
PT_19414_spr_rec_d	SRR34920239
PT_19414_sum_ile_d	SRR34920238
PT_19414_sum_mid_d	SRR34920237
PT_19414_sum_rec_d	SRR34920256
RO_17363_spr_ile_d	SRR34920248
RO_17363_spr_mid_d	SRR34920247
RO_17363_spr_rec_d	SRR34920246
RO_17363_sum_ile_d	SRR34920245
RO_17363_sum_mid_d	SRR34920244
RO_17363_sum_rec_d	SRR34920243
RO_17371_sum_ile_d	SRR34920242
RO_17371_sum_mid_d	SRR34920241
RO_17371_sum_rec_d	SRR34920240
RO_17377_sum_ile_d	SRR34920337
RO_17377_sum_mid_d	SRR34920336
RO_17377_sum_rec_d	SRR34920335
RO_17378_aut_ile_d	SRR34920236
RO_17378_aut_mid_d	SRR34919883
RO_17378_aut_rec_d	SRR34919882
RO_17378_spr_ile_d	SRR34919881
RO_17378_spr_mid_d	SRR34919880
RO_17378_spr_rec_d	SRR34919879
RO_17378_sum_ile_d	SRR34919878
RO_17378_sum_mid_d	SRR34919876
RO_17378_sum_rec_d	SRR34919875
RO_17380_sum_ile_d	SRR34919874
RO_17380_sum_mid_d	SRR34919873
RO_17380_sum_rec_d	SRR34920129
RO_17381_sum_ile_d	SRR34920343
RO_17381_sum_mid_d	SRR34920342
RO_17381_sum_rec_d	SRR34920341
RO_17382_aut_ile_d	SRR34920340
RO_17382_aut_mid_d	SRR34920339
RO_17382_aut_rec_d	SRR34920218
RO_17382_sum_ile_d	SRR34920217
RO_17382_sum_mid_d	SRR34920334
RO_17382_sum_rec_d	SRR34920333
RO_17383_spr_ile_d	SRR34920332
RO_17383_spr_mid_d	SRR34920235
RO_17383_spr_rec_d	SRR34920234
RO_26022_aut_ile_d	SRR34920233
RO_26022_aut_mid_d	SRR34920232
RO_26022_aut_rec_d	SRR34920231
RO_26024_aut_ile_d	SRR34920229
RO_26024_aut_mid_d	SRR34920228
RO_26024_aut_rec_d	SRR34920227
UK_14498_aut_ile_d	SRR34920226
UK_14498_aut_mid_d	SRR34920225
UK_14498_aut_rec_d	SRR34920224
UK_14498_spr_ile_d	SRR34920223
UK_14498_spr_mid_d	SRR34920222
UK_14498_spr_rec_d	SRR34920221
UK_14498_sum_ile_d	SRR34920220
UK_14498_sum_mid_d	SRR34920194
UK_14498_sum_rec_d	SRR34920216
UK_14500_aut_ile_d	SRR34920215
UK_14500_aut_mid_d	SRR34920214
UK_14500_aut_rec_d	SRR34920213
UK_14500_sum_ile_d	SRR34920212
UK_14500_sum_mid_d	SRR34920211
UK_14500_sum_rec_d	SRR34920210
UK_14501_aut_ile_d	SRR34920209
UK_14501_aut_mid_d	SRR34920208
UK_14501_aut_rec_d	SRR34920206
UK_14501_spr_ile_d	SRR34920205
UK_14501_spr_mid_d	SRR34920204
UK_14501_spr_rec_d	SRR34920203
UK_14501_sum_ile_d	SRR34920202
UK_14501_sum_mid_d	SRR34920201
UK_14501_sum_rec_d	SRR34920200
UK_14502_aut_ile_d	SRR34920199
UK_14502_aut_mid_d	SRR34920198
UK_14502_aut_rec_d	SRR34920196
UK_14502_sum_ile_d	SRR34920316
UK_14502_sum_mid_d	SRR34920193
UK_14502_sum_rec_d	SRR34920192
UK_15140_aut_ile_d	SRR34920191
UK_15140_aut_mid_d	SRR34920190
UK_15140_aut_rec_d	SRR34920189
UK_15140_sum_ile_d	SRR34920188
UK_15140_sum_mid_d	SRR34920331
UK_15140_sum_rec_d	SRR34920330
UK_15141_aut_ile_d	SRR34920329
UK_15141_aut_mid_d	SRR34920327
UK_15141_aut_rec_d	SRR34920326
UK_15141_spr_ile_d	SRR34920325
UK_15141_spr_mid_d	SRR34920324
UK_15141_spr_rec_d	SRR34920323
UK_15141_sum_ile_d	SRR34920322
UK_15141_sum_mid_d	SRR34920321
UK_15141_sum_rec_d	SRR34920320
UK_23922_aut_ile_d	SRR34920319
UK_23922_aut_mid_d	SRR34920318
UK_23922_aut_rec_d	SRR34920175
UK_23922_sum_ile_d	SRR34920174
UK_23922_sum_mid_d	SRR34920315
UK_23922_sum_rec_d	SRR34920314
UK_24337_aut_ile_d	SRR34920313
UK_24337_aut_mid_d	SRR34920312
UK_24337_aut_rec_d	SRR34920311
UK_24337_sum_ile_d	SRR34920310
UK_24337_sum_mid_d	SRR34920309
UK_24337_sum_rec_d	SRR34920308
Blank_pool_01	SRR34920186
Blank_pool_02	SRR34920185
Blank_pool_03	SRR34920184
Blank_pool_04	SRR34920183
Blank_pool_05	SRR34920182
Blank_pool_06	SRR34920181
Blank_pool_07	SRR34920180
Blank_pool_08	SRR34920179
Blank_pool_09	SRR34920178
Blank_pool_10	SRR34920177
Blank_pool_11	SRR34920047
Blank_pool_12	SRR34920046
Blank_pool_13	SRR34920173
Blank_pool_14	SRR34920172
Blank_pool_15	SRR34920171
Blank_pool_16	SRR34920170
Blank_pool_17	SRR34920169
Blank_pool_18	SRR34920168
Blank_pool_19	SRR34920167
Blank_pool_20	SRR34920166
Blank_pool_21	SRR34920164
