Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1322","Herbicides – Triazines","2017","2017","t","228.31","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1322","Herbicides – Triazines","2018","2018","t","260.56","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1322","Herbicides – Triazines","2019","2019","t","277.95","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1322","Herbicides – Triazines","2020","2020","t","182.28","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1323","Herbicides – Amides","2017","2017","t","302.13","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1323","Herbicides – Amides","2018","2018","t","318.82","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1323","Herbicides – Amides","2019","2019","t","365.81","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1323","Herbicides – Amides","2020","2020","t","291.65","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1324","Herbicides – Carbamates","2017","2017","t","130.28","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1324","Herbicides – Carbamates","2018","2018","t","163.08","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1324","Herbicides – Carbamates","2019","2019","t","135.47","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1324","Herbicides – Carbamates","2020","2020","t","44.05","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2017","2017","t","57.42","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2018","2018","t","92.71","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2019","2019","t","82.16","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2020","2020","t","84.54","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1326","Herbicides – Urea derivates","2017","2017","t","89.61","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1326","Herbicides – Urea derivates","2018","2018","t","81.47","X","Figure from international organizations","Figure from international organizations"
