contig;Subgroup
NODE_A340_length_3535_cov_7.861481_BE_16557_sum_mid_d;Family3
NODE_A99_length_4348_cov_12.277218_NL_19100_aut_mid_d;Family3
NODE_A114_length_3940_cov_4.917163_DE_18033_aut_mid_d;Family3
NODE_A171_length_2596_cov_3.066693_BE_16561_aut_mid_d;Family3
NODE_A67_length_5220_cov_16.111025_NL_19103_aut_mid_d;Family3
NODE_A55_length_4406_cov_9.196581_BE_16561_aut_mid_d;Family3
NODE_A475_length_2590_cov_4.379228_DE_18032_sum_mid_d;Family3
NODE_A227_length_2357_cov_4.603070_PT_19411_spr_mid_d;Family3
NODE_A140_length_4488_cov_15.288370_DE_18029_spr_mid_d;Family3
NODE_A264_length_3924_cov_11.822719_BE_16557_sum_mid_d;Family3
NODE_A81_length_4673_cov_16.057224_NL_19100_aut_mid_d;Family3
NODE_A79_length_4313_cov_15.885741_BE_16558_aut_mid_d;Family3
NODE_A61_length_3758_cov_6.293399_RO_17378_spr_mid_d;Family3
NODE_A156_length_2689_cov_5.825804_BE_16561_aut_mid_d;Family3
NODE_A282_length_3832_cov_5.335819_BE_16557_sum_mid_d;Family3
NODE_A40_length_2964_cov_4.074818_UK_15141_spr_mid_d;Family3
NODE_A157_length_3821_cov_5.541667_NL_19102_sum_mid_d;Family3
NODE_A546_length_3887_cov_5.229396_CH_17690_aut_rec_d;Family3
NODE_A11_length_4810_cov_7.982464_RO_17378_aut_mid_d;Family3
NODE_A119_length_3321_cov_8.005549_BE_16563_aut_mid_d;Family3
NODE_A554_length_4554_cov_6.524682_CH_17687_aut_mid_d;Family3
NODE_A190_length_4442_cov_9.434593_DE_18032_sum_mid_d;Family3
NODE_A1637_length_2733_cov_6.195783_CH_17687_aut_mid_d;Family3
NODE_A52_length_4531_cov_18.908397_CH_17687_sum_mid_d;Family3
NODE_A763_length_4033_cov_5.801820_DE_18028_spr_rec_d;Family3
NODE_A189_length_4442_cov_25.487973_DE_18032_sum_mid_d;Family3
NODE_A95_length_4466_cov_7.759854_NL_19100_aut_mid_d;Family3
NODE_A9_length_4347_cov_11.660890_UK_14498_sum_mid_d;Family3
NODE_A127_length_4963_cov_5.876791_DE_18032_sum_mid_d;Family3
NODE_A285_length_4378_cov_6.055568_BE_16562_aut_mid_d;Family3
NODE_A177_length_2396_cov_6.307891_BE_16556_aut_mid_d;Family3
NODE_A129_length_3322_cov_15.527581_BE_16558_aut_mid_d;Family3
NODE_A88_length_3335_cov_5.367096_FR_19770_aut_mid_d;Family3
NODE_A45_length_2835_cov_7.170776_UK_15141_spr_mid_d;Family3
NODE_A67_length_4682_cov_33.920087_DE_18027_aut_mid_d;Family3
NODE_A156_length_4617_cov_17.286344_DE_18032_sum_mid_d;Family3
NODE_A233_length_3952_cov_14.386065_DE_18032_sum_mid_d;Family3
NODE_A64_length_4507_cov_18.493905_BE_16558_aut_mid_d;Family3
NODE_A62_length_4304_cov_59.869884_PT_19412_spr_mid_d;Family3
NODE_A134_length_3126_cov_5.246966_BE_16558_aut_mid_d;Family3
NODE_A95_length_4486_cov_17.710365_PT_19410_aut_mid_d;Family3
NODE_A41_length_4460_cov_21.431211_RO_26022_aut_mid_d;Family3
NODE_A874_length_3144_cov_7.128138_NL_19102_spr_mid_d;Family3
NODE_A266_length_3688_cov_8.272778_DE_18032_sum_mid_d;Family3
