contig,Host_group
NODE_A22_length_18161_cov_142.263845_FR_19772_aut_rec_d,Bifidobacterium
NODE_A22_length_18738_cov_4011.146509_RO_17380_sum_rec_d,Bifidobacterium
NODE_A22_length_18959_cov_175.123292_FR_19768_sum_rec_d,Bifidobacterium
NODE_A22_length_19011_cov_171.104097_CH_17685_sum_rec_d,Bifidobacterium
NODE_A22_length_19126_cov_391.037010_DE_18032_sum_rec_d,Bifidobacterium
NODE_A22_length_19258_cov_393.428601_CH_17688_aut_rec_d,Bifidobacterium
NODE_A22_length_19479_cov_61.973817_BE_16562_aut_ile_d,Lactobacillus
NODE_A22_length_24577_cov_172.945184_CH_17686_sum_rec_d,Bifidobacterium
NODE_A22_length_25029_cov_59.452629_PT_19407_sum_rec_d,Bartonella
NODE_A22_length_5321_cov_19.957666_PT_19407_spr_mid_d,other
NODE_A230_length_3570_cov_3.598340_DE_18029_spr_mid_d,other
NODE_A233_length_3952_cov_14.386065_DE_18032_sum_mid_d,other
NODE_A234_length_3529_cov_4.048378_DE_18029_spr_mid_d,other
NODE_A23_length_10822_cov_17.217776_NL_19100_sum_mid_d,Lactobacillus
NODE_A23_length_12858_cov_13.435412_NL_19103_sum_rec_d,Bifidobacterium
NODE_A23_length_13173_cov_25.197389_DE_18028_aut_mid_g,Bifidobacterium
NODE_A23_length_18131_cov_78.266806_FR_19772_aut_rec_d,Bifidobacterium
NODE_A23_length_18171_cov_591.871394_FR_19767_sum_rec_d,Bifidobacterium
NODE_A23_length_18174_cov_126.806321_BE_16558_sum_rec_d,Bifidobacterium
NODE_A23_length_19401_cov_405.940075_BE_16562_aut_ile_d,Bifidobacterium
NODE_A23_length_19420_cov_215.212738_PT_19410_aut_rec_d,Lactobacillus
NODE_A23_length_19593_cov_19.899006_BE_16557_sum_rec_d,other
NODE_A23_length_20393_cov_33.008122_CH_17691_sum_rec_d,Gilliamella
NODE_A23_length_25565_cov_85.004316_NL_19104_spr_rec_d,Gilliamella
NODE_A23_length_25708_cov_31.511373_CH_17689_aut_rec_d,Bartonella
NODE_A23_length_30980_cov_191.896741_BE_16561_aut_rec_d,Bifidobacterium
NODE_A23_length_32668_cov_23.208984_NL_19104_aut_rec_d,other
NODE_A242_length_2951_cov_205.997216_UK_14498_aut_mid_d,other
NODE_A248_length_4167_cov_5.883374_DE_18030_spr_mid_d,other
NODE_A24_length_10165_cov_305.930611_UK_14501_sum_rec_d,Bifidobacterium
NODE_A24_length_18558_cov_50.911135_CH_17685_sum_rec_d,Bifidobacterium
NODE_A24_length_18830_cov_43.310837_CH_17691_aut_rec_d,Bifidobacterium
NODE_A24_length_19049_cov_1610.139363_BE_16562_aut_ile_d,Bifidobacterium
NODE_A24_length_20931_cov_25.934305_BE_16562_aut_mid_d,Gilliamella
NODE_A24_length_22832_cov_21.213492_PT_19412_sum_rec_d,Bartonella
NODE_A24_length_2805_cov_4.346041_UK_15140_sum_mid_d,other
NODE_A24_length_28931_cov_55.129029_CH_17692_sum_ile_d,other
NODE_A24_length_36366_cov_140.796660_NL_19100_aut_rec_d,Gilliamella
NODE_A25_length_16321_cov_345.907611_BE_16562_sum_rec_d,Lactobacillus
NODE_A25_length_17337_cov_40.841831_RO_17378_sum_ile_d,Gilliamella
NODE_A25_length_18449_cov_151.848267_CH_17688_aut_rec_d,Bifidobacterium
NODE_A25_length_18787_cov_456.685963_RO_17381_sum_rec_d,Bifidobacterium
NODE_A25_length_18906_cov_77.159594_CH_17685_aut_rec_d,Bifidobacterium
NODE_A25_length_22340_cov_69.681310_PT_19414_sum_rec_d,other
NODE_A25_length_3978_cov_5.428095_FR_19769_spr_mid_d,other
NODE_A25_length_4304_cov_10.414715_BE_16557_aut_mid_d,other
NODE_A25_length_4525_cov_5.799685_NL_19104_sum_mid_d,other
NODE_A26_length_11189_cov_13.920716_FR_19774_sum_rec_d,Bifidobacterium
NODE_A26_length_18554_cov_75.309538_NL_19101_aut_rec_d,Bifidobacterium
NODE_A26_length_22004_cov_63.383728_NL_19101_spr_rec_d,Gilliamella
NODE_A26_length_27425_cov_3312.440508_DE_18029_sum_rec_d,Bifidobacterium
NODE_A26_length_29203_cov_66.237829_BE_16561_aut_rec_d,other
NODE_A271_length_3667_cov_10.033983_DE_18032_sum_mid_d,other
NODE_A27_length_10301_cov_20.832551_PT_19408_spr_rec_d,Bifidobacterium
NODE_A27_length_17802_cov_158.675206_BE_16562_aut_ile_d,Bifidobacterium
NODE_A27_length_19237_cov_536.234186_BE_16560_sum_rec_d,Bifidobacterium
NODE_A27_length_23784_cov_32.981735_BE_16556_sum_rec_d,Lactobacillus
NODE_A27_length_4701_cov_25.620458_NL_19102_aut_mid_d,other
NODE_A281_length_3572_cov_5.570243_DE_18032_sum_mid_d,other
NODE_A28V_length_26660V24921_cov_96.051010_CH_17692_sum_ile_d,other
NODE_A28_length_17410_cov_48.351757_DE_18032_sum_rec_d,Lactobacillus
NODE_A28_length_19087_cov_215.903945_CH_17686_sum_rec_d,Bifidobacterium
NODE_A28_length_20733_cov_268.229570_PT_19414_sum_rec_d,Bifidobacterium
NODE_A28_length_23295_cov_12.180894_BE_16556_sum_rec_d,other
NODE_A28_length_26154_cov_58.918549_DE_18029_sum_rec_d,Lactobacillus
NODE_A297_length_3405_cov_12.127404_DE_18032_sum_mid_d,other
NODE_A29_length_14638_cov_21.586842_BE_16558_spr_rec_d,Bifidobacterium
NODE_A29_length_17696_cov_115.519326_FR_19768_sum_rec_d,Gilliamella
NODE_A29_length_20702_cov_33.374739_PT_19412_sum_rec_d,Lactobacillus
NODE_A29_length_30652_cov_172.087882_NL_19104_aut_rec_d,other
NODE_A29_length_9555_cov_106.278856_CH_17687_sum_rec_d,Bifidobacterium
NODE_A29_length_9709_cov_28.277512_NL_19101_sum_mid_d,other
NODE_A2_length_118747_cov_329.025027_NL_19103_aut_rec_d,Bifidobacterium
NODE_A2_length_119368_cov_59.257295_RO_17381_sum_rec_d,Bifidobacterium
NODE_A2_length_18663_cov_37.673266_FR_19771_aut_rec_d,Bifidobacterium
NODE_A2_length_18714_cov_40.026989_PT_19412_sum_ile_d,Bifidobacterium
NODE_A2_length_19197_cov_91.197468_FR_19773_aut_rec_d,Bifidobacterium
NODE_A2_length_20317_cov_18.219318_CH_17687_sum_ile_d,Lactobacillus
NODE_A2_length_27816_cov_52.330762_RO_17381_sum_mid_d,other
NODE_A2_length_28910_cov_158.479589_RO_17378_spr_rec_d,Gilliamella
NODE_A2_length_29483_cov_45.163062_FR_19770_spr_ile_g,Gilliamella
NODE_A2_length_30331_cov_158.612944_FR_19770_aut_rec_d,Lactobacillus
NODE_A2_length_31351_cov_55.721270_BE_16557_sum_ile_d,Bifidobacterium
NODE_A2_length_31864_cov_541.060905_NL_19103_sum_ile_d,Bifidobacterium
NODE_A2_length_32063_cov_15.566779_NL_19104_sum_mid_d,other
NODE_A2_length_32298_cov_48.296235_FR_19772_sum_rec_d,Bifidobacterium
NODE_A2_length_32387_cov_165.402012_BE_16561_spr_rec_d,Bifidobacterium
NODE_A2_length_35267_cov_63.354874_CH_17688_sum_rec_d,Bombilactobacillus
NODE_A2_length_36940_cov_28.289016_FR_19770_aut_mid_d,Gilliamella
NODE_A2_length_37133_cov_252.401743_DE_18031_spr_rec_d,Gilliamella
NODE_A2_length_38120_cov_65.009200_BE_16560_spr_mid_d,other
NODE_A2_length_38614_cov_52.675922_DE_18027_sum_rec_d,Bifidobacterium
NODE_A2_length_39047_cov_110.908365_DE_18028_aut_mid_g,Bartonella
NODE_A2_length_39435_cov_105.984044_PT_19413_sum_mid_d,other
NODE_A2_length_39819_cov_45.428464_BE_16560_sum_ile_d,Bartonella
NODE_A2_length_39831_cov_57.815289_RO_17363_spr_rec_d,Lactobacillus
NODE_A2_length_39933_cov_59.603824_NL_19100_aut_mid_d,Bartonella
NODE_A2_length_40386_cov_211.505569_DE_18028_spr_mid_d,Gilliamella
NODE_A2_length_41189_cov_32.269581_FR_19767_sum_mid_d,Bombella
NODE_A2_length_41641_cov_169.324632_UK_14500_aut_rec_d,other
NODE_A2_length_41762_cov_61.987837_DE_18027_aut_ile_d,Bartonella
NODE_A2_length_42703_cov_35.284545_RO_17382_aut_rec_d,Bartonella
NODE_A2_length_43579_cov_179.322445_BE_16562_sum_mid_d,Frischella
NODE_A2_length_43906_cov_23.146478_BE_16556_sum_mid_d,Bombella
NODE_A2_length_44186_cov_4428.130654_PT_19414_spr_rec_d,Lactobacillus
NODE_A2_length_44324_cov_86.874703_PT_19407_aut_mid_d,other
NODE_A2_length_44969_cov_51.188675_PT_19409_aut_mid_d,Gilliamella
NODE_A2_length_45425_cov_427.245435_NL_19103_sum_rec_d,Lactobacillus
NODE_A2_length_46290_cov_177.302015_CH_17691_sum_rec_d,Lactobacillus
NODE_A2_length_47510_cov_74.121076_RO_17371_sum_rec_d,other
NODE_A2_length_47525_cov_358.237565_PT_19409_aut_rec_d,Lactobacillus
NODE_A2_length_49230_cov_1038.472423_CH_17691_aut_rec_d,Lactobacillus
NODE_A2_length_49406_cov_132.288248_UK_14501_spr_rec_d,Bartonella
NODE_A2_length_49422_cov_46.564049_UK_14498_aut_mid_d,other
NODE_A2_length_51263_cov_183.782206_BE_16560_sum_rec_d,other
NODE_A2_length_51513_cov_83.671961_NL_19104_aut_mid_d,Gilliamella
NODE_A2_length_52857_cov_216.134312_PT_19410_spr_rec_d,other
NODE_A2_length_53539_cov_25.264468_DE_18029_spr_rec_d,other
NODE_A2_length_60018_cov_87.121069_DE_18032_sum_rec_d,other
NODE_A2_length_62741_cov_73.680024_RO_17378_sum_rec_d,Bartonella
NODE_A2_length_63557_cov_3877.537240_UK_15141_sum_rec_d,Bartonella
NODE_A2_length_64380_cov_48.427616_BE_16557_aut_rec_d,Bartonella
NODE_A2_length_72276_cov_4315.735550_NL_19101_aut_rec_d,Bartonella
NODE_A2_length_72796_cov_630.354543_NL_19104_spr_rec_d,Snodgrassella
NODE_A2_length_80976_cov_291.582109_UK_14502_sum_rec_d,other
NODE_A308_length_3429_cov_40.698389_NL_19100_sum_mid_d,other
NODE_A30_length_15675_cov_81.979677_BE_16556_spr_mid_d,Lactobacillus
NODE_A312_length_5140_cov_48.388505_NL_19102_spr_mid_d,other
NODE_A31_length_10376_cov_41.003398_PT_19411_sum_rec_d,Bifidobacterium
NODE_A31_length_18504_cov_47.218234_UK_14502_sum_mid_d,Bifidobacterium
NODE_A31_length_18773_cov_34.204857_CH_17686_sum_rec_d,Bifidobacterium
NODE_A31_length_9060_cov_1379.042413_PT_19408_spr_rec_d,Bifidobacterium
NODE_A321_length_3946_cov_9.400879_NL_19104_sum_rec_d,Lactobacillus
NODE_A328_length_5806_cov_24.327282_NL_19103_spr_mid_d,other
NODE_A32_length_12667_cov_9.807387_BE_16561_sum_rec_d,Bifidobacterium
NODE_A32_length_16410_cov_324.320517_NL_19104_sum_rec_d,Lactobacillus
NODE_A32_length_17207_cov_14.298365_CH_17690_aut_mid_d,other
NODE_A32_length_18333_cov_31.791798_BE_16560_sum_rec_d,Bifidobacterium
NODE_A32_length_18705_cov_18.128033_CH_17686_sum_rec_d,Bifidobacterium
NODE_A32_length_26284_cov_48.691991_NL_19103_aut_rec_d,Bartonella
NODE_A32_length_3564_cov_5.852022_RO_17378_aut_mid_d,other
NODE_A32_length_4431_cov_7.895728_NL_19102_aut_mid_d,other
NODE_A33_length_15573_cov_582.458183_BE_16558_sum_rec_d,Bifidobacterium
NODE_A33_length_19502_cov_14546.431278_BE_16563_aut_rec_d,Bifidobacterium
NODE_A33_length_19528_cov_93.831063_NL_19102_spr_rec_d,Lactobacillus
NODE_A33_length_21773_cov_13.234145_CH_17689_aut_rec_d,Lactobacillus
NODE_A33_length_24404_cov_15.481029_NL_19103_aut_rec_d,Bartonella
NODE_A340_length_5593_cov_7.417150_NL_19104_aut_rec_d,other
NODE_A344_length_3525_cov_6.102378_BE_16557_sum_mid_d,other
NODE_A34_length_13560_cov_256.932063_BE_16559_spr_ile_d,Bifidobacterium
NODE_A350_length_5499_cov_35.704353_NL_19104_aut_rec_d,other
NODE_A358_length_2299_cov_2.735824_BE_16560_sum_mid_d,other
NODE_A35_length_19126_cov_1409.836953_NL_19103_spr_rec_d,Bifidobacterium
NODE_A36_length_15305_cov_4476.734699_RO_17380_sum_rec_d,Bifidobacterium
NODE_A36_length_19024_cov_1145.537721_BE_16563_aut_rec_d,Bifidobacterium
NODE_A36_length_5566_cov_31.777555_PT_19411_spr_mid_d,other
NODE_A379_length_2816_cov_12.718145_NL_19101_sum_mid_d,other
NODE_A37_length_12471_cov_20.371793_BE_16557_spr_rec_d,Bifidobacterium
NODE_A37_length_19538_cov_126.866297_BE_16560_aut_ile_d,Bifidobacterium
NODE_A37_length_28762_cov_23.965940_NL_19100_aut_rec_d,Bartonella
NODE_A37_length_4645_cov_8.893608_BE_16556_aut_mid_d,other
NODE_A37_length_4821_cov_4.298904_BE_16561_aut_mid_d,other
NODE_A37_length_5799_cov_12.847256_PT_19413_sum_mid_d,other
NODE_A389_length_3284_cov_14.817275_BE_16557_sum_mid_d,other
NODE_A38_length_12190_cov_123.341039_CH_17690_aut_rec_d,other
NODE_A38_length_13695_cov_18.930680_BE_16558_sum_mid_d,Bifidobacterium
NODE_A38_length_4486_cov_8.621229_RO_26022_aut_mid_d,other
NODE_A38_length_6283_cov_37.909926_RO_17363_spr_mid_d,other
NODE_A39_length_13422_cov_35.819033_CH_17685_aut_rec_d,Bifidobacterium
NODE_A39_length_15696_cov_939.522505_DE_18027_aut_rec_d,Lactobacillus
NODE_A39_length_18130_cov_729.276762_BE_16556_sum_rec_d,Bifidobacterium
NODE_A39_length_19213_cov_90.031720_BE_16560_aut_ile_d,Bifidobacterium
NODE_A39_length_24996_cov_13.331153_NL_19104_aut_rec_d,other
NODE_A39_length_3318_cov_22.023450_UK_15141_spr_mid_d,other
NODE_A3_length_14848_cov_35.806107_PT_19410_sum_ile_d,Lactobacillus
NODE_A3_length_17416_cov_127.699406_PT_19408_spr_ile_d,Lactobacillus
NODE_A3_length_18386_cov_924.287765_FR_19773_aut_rec_d,Bifidobacterium
NODE_A3_length_18754_cov_77.000589_FR_19769_spr_rec_d,Bifidobacterium
NODE_A3_length_18825_cov_880.073273_FR_19767_aut_rec_d,Bifidobacterium
NODE_A3_length_19376_cov_40.872719_CH_17687_sum_ile_d,Bifidobacterium
NODE_A3_length_22468_cov_42.973873_NL_19102_sum_rec_d,Lactobacillus
NODE_A3_length_24101_cov_17.423285_NL_20378_aut_mid_d,Lactobacillus
NODE_A3_length_25240_cov_34.705639_UK_14498_spr_rec_d,Lactobacillus
NODE_A3_length_27858_cov_32.899104_PT_19409_sum_rec_d,Lactobacillus
NODE_A3_length_27900_cov_344.215936_DE_18032_spr_rec_d,Lactobacillus
NODE_A3_length_28022_cov_42.048667_BE_16559_sum_ile_d,other
NODE_A3_length_28544_cov_381.980398_FR_19770_aut_rec_d,Bifidobacterium
NODE_A3_length_29512_cov_118.665330_UK_14502_aut_rec_d,Bombilactobacillus
NODE_A3_length_29896_cov_53.279687_PT_19414_spr_mid_d,Gilliamella
NODE_A3_length_30282_cov_19.125741_FR_19767_sum_ile_d,Bifidobacterium
NODE_A3_length_31058_cov_53.822440_NL_19100_sum_mid_d,other
NODE_A3_length_31309_cov_22.437180_DE_18032_sum_mid_d,other
NODE_A3_length_31527_cov_181.313863_UK_14500_aut_rec_d,Bifidobacterium
NODE_A3_length_31794_cov_24.926443_FR_19772_sum_rec_d,Bifidobacterium
NODE_A3_length_32385_cov_4270.077814_FR_19767_sum_mid_d,Bifidobacterium
NODE_A3_length_33146_cov_55.019293_DE_18032_sum_ile_d,Bifidobacterium
NODE_A3_length_34142_cov_69.554411_DE_18031_spr_rec_d,Lactobacillus
NODE_A3_length_35019_cov_23.526272_RO_17363_spr_mid_d,Bombella
NODE_A3_length_36711_cov_1105.396817_RO_17382_aut_rec_d,Bifidobacterium
NODE_A3_length_37887_cov_2042.604866_PT_19410_aut_rec_d,Bifidobacterium
NODE_A3_length_38509_cov_58.147741_DE_18028_aut_mid_g,Bombella
NODE_A3_length_39408_cov_20.280339_RO_17363_spr_rec_d,Lactobacillus
NODE_A3_length_39668_cov_208.864060_BE_16557_sum_mid_d,Lactobacillus
NODE_A3_length_40393_cov_72.319873_RO_26022_aut_ile_d,other
NODE_A3_length_40539_cov_763.424275_RO_17378_aut_rec_d,Lactobacillus
NODE_A3_length_40727_cov_161.762878_BE_16562_aut_ile_d,Bartonella
NODE_A3_length_41293_cov_408.105323_RO_17371_sum_rec_d,other
NODE_A3_length_41698_cov_30.730208_RO_17381_sum_rec_d,other
NODE_A3_length_41932_cov_1770.308589_BE_16556_spr_rec_d,Lactobacillus
NODE_A3_length_43296_cov_54.773595_PT_19408_spr_mid_d,Gilliamella
NODE_A3_length_43298_cov_132.878508_FR_19768_sum_rec_d,other
NODE_A3_length_44098_cov_84.052566_DE_18027_aut_rec_d,Bartonella
NODE_A3_length_44814_cov_37.219505_DE_18029_spr_mid_d,Gilliamella
NODE_A3_length_45605_cov_104.639321_PT_19412_sum_mid_d,other
NODE_A3_length_45891_cov_21.080936_UK_14502_sum_rec_d,other
NODE_A3_length_47174_cov_487.799414_PT_19411_spr_mid_d,other
NODE_A3_length_47812_cov_23.326155_UK_14502_sum_mid_d,other
NODE_A3_length_48012_cov_30.499760_PT_19409_spr_rec_d,other
NODE_A3_length_49709_cov_710.150629_CH_17690_sum_rec_d,other
NODE_A3_length_52880_cov_24.027896_CH_17687_sum_rec_d,other
NODE_A3_length_54145_cov_23.439891_RO_17363_sum_rec_d,other
NODE_A3_length_58747_cov_69.942304_BE_16557_spr_rec_d,Snodgrassella
NODE_A3_length_65365_cov_68.944691_BE_16558_sum_mid_d,Snodgrassella
NODE_A3_length_6659_cov_23.588423_UK_15140_sum_mid_d,other
NODE_A3_length_73628_cov_24.519327_BE_16556_sum_rec_d,other
NODE_A3_length_73857_cov_111.266495_NL_19103_aut_rec_d,other
NODE_A3_length_82827_cov_31.280689_BE_16556_spr_mid_d,other
NODE_A40_length_15336_cov_326.470345_CH_17691_aut_rec_d,Lactobacillus
NODE_A40_length_15855_cov_4617.527887_FR_19772_aut_rec_d,Lactobacillus
NODE_A40_length_18882_cov_134.676776_UK_14500_sum_rec_d,Bifidobacterium
NODE_A40_length_24601_cov_62.161230_NL_19104_aut_rec_d,other
NODE_A410_length_2814_cov_4.494702_DE_18032_sum_mid_d,other
NODE_A416_length_3806_cov_12.977474_UK_14502_sum_mid_d,other
NODE_A41_length_17271_cov_12.875596_PT_19414_sum_rec_d,other
NODE_A41_length_18974_cov_205.279145_NL_19104_spr_rec_d,Bifidobacterium
NODE_A41_length_20479_cov_16.969415_NL_19103_aut_rec_d,Gilliamella
NODE_A421_length_2691_cov_4.747896_DE_18029_spr_mid_d,other
NODE_A42_length_12606_cov_23.396281_PT_19412_spr_rec_d,other
NODE_A439_length_5128_cov_12.561275_CH_17687_aut_mid_d,other
NODE_A43_length_18465_cov_865.047352_PT_19412_sum_rec_d,Bifidobacterium
NODE_A43_length_18510_cov_62.793034_BE_16560_aut_ile_d,Bifidobacterium
NODE_A43_length_4019_cov_12.760781_NL_19102_aut_mid_d,other
NODE_A43_length_5849_cov_55.700970_RO_17363_spr_mid_d,other
NODE_A44_length_10847_cov_37.130084_BE_16557_spr_rec_d,Lactobacillus
NODE_A44_length_14039_cov_21.087953_RO_17382_aut_rec_d,other
NODE_A44_length_14369_cov_64.440316_CH_17691_sum_rec_d,Bifidobacterium
NODE_A44_length_18035_cov_36.091818_BE_16560_aut_ile_d,Bifidobacterium
NODE_A44_length_18392_cov_374.590557_PT_19407_sum_rec_d,Bifidobacterium
NODE_A44_length_4576_cov_10.273839_PT_19414_sum_mid_d,other
NODE_A44_length_5165_cov_13.541274_DE_18027_spr_mid_d,other
NODE_A451_length_5034_cov_25.811781_CH_17687_aut_mid_d,other
NODE_A459_length_5014_cov_701.362568_CH_17687_aut_mid_d,other
NODE_A45_length_18992_cov_1009.567592_NL_19103_aut_rec_d,Bifidobacterium
NODE_A45_length_19995_cov_31.058791_PT_19413_sum_rec_d,other
NODE_A45_length_6015_cov_42.287134_NL_19103_aut_mid_d,other
NODE_A46_length_11276_cov_45.851058_CH_17685_sum_rec_d,Lactobacillus
NODE_A46_length_23307_cov_74.468059_NL_19104_aut_rec_d,other
NODE_A46_length_4235_cov_17.973545_RO_26022_aut_mid_d,other
NODE_A47_length_16425_cov_329.801963_PT_19414_sum_rec_d,Lactobacillus
NODE_A47_length_22813_cov_28.972335_NL_19104_aut_rec_d,Lactobacillus
NODE_A48_length_16377_cov_86.505706_PT_19414_sum_rec_d,Lactobacillus
NODE_A48_length_17417_cov_47.604210_RO_17380_sum_ile_d,Lactobacillus
NODE_A48_length_19197_cov_88.003766_DE_18029_sum_rec_d,Bifidobacterium
NODE_A49_length_25220_cov_52.255220_NL_19100_aut_rec_d,Lactobacillus
NODE_A4_length_18697_cov_625.369074_UK_15141_spr_rec_d,Bifidobacterium
NODE_A4_length_18875_cov_23.093840_UK_23922_aut_rec_d,Bifidobacterium
NODE_A4_length_19665_cov_169.194711_BE_16561_spr_rec_d,Bifidobacterium
NODE_A4_length_20150_cov_27.023066_PT_19410_aut_mid_d,Bombella
NODE_A4_length_23420_cov_12.513944_DE_18032_sum_mid_d,other
NODE_A4_length_24197_cov_60.236235_PT_19414_spr_mid_d,Gilliamella
NODE_A4_length_24808_cov_495.931543_PT_19408_spr_rec_d,other
NODE_A4_length_25765_cov_44.816490_RO_17378_spr_rec_d,Lactobacillus
NODE_A4_length_26231_cov_811.936721_BE_16559_sum_rec_d,Bifidobacterium
NODE_A4_length_28445_cov_696.649922_DE_18031_spr_rec_d,Lactobacillus
NODE_A4_length_28964_cov_16.157787_RO_17377_sum_ile_d,Bombilactobacillus
NODE_A4_length_31322_cov_148.360922_CH_17688_sum_rec_d,Bifidobacterium
NODE_A4_length_31953_cov_251.671383_NL_19103_sum_rec_d,Bifidobacterium
NODE_A4_length_32422_cov_4268.502829_UK_15140_sum_rec_d,Bifidobacterium
NODE_A4_length_32814_cov_88.028103_FR_19769_aut_rec_d,Bifidobacterium
NODE_A4_length_34306_cov_133.390809_NL_19100_sum_rec_d,other
NODE_A4_length_35893_cov_30.812542_DE_18028_aut_mid_g,Bombilactobacillus
NODE_A4_length_36641_cov_59.766710_BE_16557_sum_mid_d,Gilliamella
NODE_A4_length_36855_cov_56.133177_RO_17378_aut_rec_d,Bifidobacterium
NODE_A4_length_37542_cov_246.184305_BE_16558_sum_rec_d,Bifidobacterium
NODE_A4_length_37548_cov_45.929946_BE_16562_sum_mid_d,Bifidobacterium
NODE_A4_length_37587_cov_135.184031_NL_19101_sum_rec_d,Bifidobacterium
NODE_A4_length_37854_cov_22.169839_PT_19414_spr_rec_d,Bifidobacterium
NODE_A4_length_38390_cov_69.781693_FR_19774_sum_rec_d,Lactobacillus
NODE_A4_length_38400_cov_37.798006_FR_19772_aut_rec_d,Bartonella
NODE_A4_length_38560_cov_124.074059_CH_17685_sum_rec_d,Bifidobacterium
NODE_A4_length_38697_cov_105.222890_RO_17363_spr_rec_d,Lactobacillus
NODE_A4_length_39482_cov_41.284710_PT_19412_aut_rec_d,Bombilactobacillus
NODE_A4_length_39573_cov_34.014786_UK_14501_sum_rec_d,Lactobacillus
NODE_A4_length_39615_cov_36.028479_NL_19104_aut_ile_d,Bartonella
NODE_A4_length_39617_cov_44.485154_RO_17381_sum_rec_d,Bartonella
NODE_A4_length_39903_cov_26.572465_PT_19414_sum_rec_d,Bartonella
NODE_A4_length_40781_cov_30.329304_CH_17687_sum_rec_d,Lactobacillus
NODE_A4_length_41861_cov_129.808491_RO_17363_sum_rec_d,Lactobacillus
NODE_A4_length_42904_cov_172.345693_PT_19407_aut_rec_d,other
NODE_A4_length_43441_cov_34.404368_NL_20378_spr_rec_d,other
NODE_A4_length_43708_cov_33.692604_CH_17691_aut_ile_d,Bartonella
NODE_A4_length_44427_cov_73.045772_PT_19413_spr_mid_d,other
NODE_A4_length_44865_cov_65.538894_PT_19412_spr_rec_d,other
NODE_A4_length_46659_cov_173.464342_BE_16560_sum_rec_d,other
NODE_A4_length_47646_cov_162.939519_CH_17690_sum_rec_d,Lactobacillus
NODE_A4_length_48207_cov_21.923935_CH_17686_sum_rec_d,other
NODE_A4_length_48655_cov_2842.727799_RO_17378_sum_rec_d,Lactobacillus
NODE_A4_length_48901_cov_1038.950803_PT_19410_spr_rec_d,Lactobacillus
NODE_A4_length_49404_cov_563.768180_PT_19413_sum_rec_d,other
NODE_A4_length_56752_cov_78.794707_CH_17688_aut_mid_d,Gilliamella
NODE_A4_length_61640_cov_572.171532_BE_16556_sum_rec_d,other
NODE_A4_length_63440_cov_172.443824_BE_16561_aut_rec_d,Bartonella
NODE_A4_length_64621_cov_4243.825995_NL_19101_aut_rec_d,Bartonella
NODE_A4_length_66018_cov_31.041097_CH_17692_sum_rec_d,other
NODE_A50_length_10448_cov_31.759618_BE_16558_aut_rec_d,Bifidobacterium
NODE_A50_length_21234_cov_23.129366_BE_16561_aut_rec_d,Lactobacillus
NODE_A510_length_2486_cov_5.345372_DE_18032_sum_mid_d,other
NODE_A51_length_24903_cov_43.786635_NL_19100_aut_rec_d,Lactobacillus
NODE_A51_length_5724_cov_21.857624_NL_19103_aut_mid_d,other
NODE_A52_length_19156_cov_17.009359_BE_16556_aut_rec_d,Bifidobacterium
NODE_A52_length_21730_cov_79.146862_NL_19104_aut_rec_d,Bifidobacterium
NODE_A53_length_21527_cov_49.520000_NL_19104_aut_rec_d,other
NODE_A54_length_13116_cov_73.869699_DE_18027_aut_rec_d,Bifidobacterium
NODE_A54_length_16692_cov_20.082395_CH_17689_aut_rec_d,Lactobacillus
NODE_A54_length_18838_cov_4828.063110_PT_19413_sum_rec_d,Bifidobacterium
NODE_A566_length_4514_cov_17.475321_CH_17687_aut_mid_d,other
NODE_A56_length_4056_cov_3.465444_PT_19414_sum_mid_d,other
NODE_A56_length_4386_cov_11.235786_BE_16561_aut_mid_d,other
NODE_A56_length_4567_cov_10.617595_PT_19413_sum_mid_d,other
NODE_A57_length_16105_cov_257.290180_PT_19407_sum_rec_d,Lactobacillus
NODE_A57_length_19219_cov_42.262303_BE_16561_aut_rec_d,other
NODE_A57_length_21066_cov_65.222069_NL_19104_aut_rec_d,other
NODE_A588_length_2663_cov_5.283836_BE_16557_sum_mid_d,other
NODE_A58_length_16225_cov_129.766968_CH_17688_aut_mid_d,Lactobacillus
NODE_A58_length_18440_cov_119.817023_CH_17692_sum_ile_d,other
NODE_A58_length_3920_cov_7.211293_RO_26022_aut_mid_d,other
NODE_A59_length_11165_cov_14.808442_RO_17380_sum_rec_d,Bifidobacterium
NODE_A59_length_16246_cov_124.884470_BE_16563_sum_rec_d,Lactobacillus
NODE_A59_length_18831_cov_1602.205663_BE_16561_aut_rec_d,Bifidobacterium
NODE_A59_length_4051_cov_3.377705_PT_19407_sum_mid_d,other
NODE_A5V_length_51580V32142_cov_47.731355_UK_14502_sum_ile_d,Gilliamella
NODE_A5_length_15996_cov_14.747848_UK_24337_aut_rec_d,Bifidobacterium
NODE_A5_length_17983_cov_43.391824_DE_18027_aut_mid_d,other
NODE_A5_length_18400_cov_39.849164_PT_19409_sum_rec_d,Bifidobacterium
NODE_A5_length_18471_cov_40.071001_DE_18031_spr_rec_d,Gilliamella
NODE_A5_length_19697_cov_33.504740_CH_17691_sum_mid_d,other
NODE_A5_length_21500_cov_39.832283_UK_14501_spr_rec_d,Bartonella
NODE_A5_length_22685_cov_37.614429_NL_19100_aut_mid_d,Bartonella
NODE_A5_length_23136_cov_37.283707_FR_19770_aut_rec_d,Lactobacillus
