contig,Host_group
NODE_A12_length_4269_cov_7.641460_CH_17692_aut_mid_d,other
NODE_A130_length_10458_cov_58.719488_DE_18029_sum_rec_d,Bifidobacterium
NODE_A131_length_4597_cov_10.036283_DE_18029_spr_mid_d,other
NODE_A132_length_3459_cov_9.844471_NL_19100_aut_mid_d,other
NODE_A136_length_10013_cov_13.637782_NL_19103_aut_rec_d,Bifidobacterium
NODE_A137_length_2886_cov_2.866857_FR_19767_sum_mid_d,other
NODE_A137_length_2983_cov_7.293187_CH_17687_sum_mid_d,other
NODE_A13_length_13043_cov_30.438532_PT_19410_spr_mid_d,other
NODE_A13_length_18530_cov_684.916924_DE_18031_sum_rec_d,Bifidobacterium
NODE_A13_length_18977_cov_43.928783_PT_19407_aut_rec_d,Bifidobacterium
NODE_A13_length_19517_cov_2043.341358_RO_17371_sum_rec_d,Bifidobacterium
NODE_A13_length_20937_cov_1166.180537_RO_26024_aut_rec_d,Bifidobacterium
NODE_A13_length_26322_cov_62.511412_PT_19407_spr_rec_d,Gilliamella
NODE_A13_length_28140_cov_166.339451_PT_19413_spr_rec_d,Lactobacillus
NODE_A13_length_28660_cov_20.302802_NL_19101_spr_mid_d,other
NODE_A13_length_29308_cov_12.412747_PT_19410_aut_rec_d,other
NODE_A13_length_29855_cov_11.578011_FR_19773_sum_rec_d,Lactobacillus
NODE_A13_length_31831_cov_758.911728_CH_17685_aut_rec_d,Bifidobacterium
NODE_A13_length_32674_cov_28.725864_CH_17691_aut_ile_d,Lactobacillus
NODE_A13_length_34134_cov_147.230437_PT_19412_spr_rec_d,Lactobacillus
NODE_A13_length_34172_cov_25.254407_BE_16562_sum_rec_d,other
NODE_A13_length_34862_cov_184.055742_BE_16560_sum_rec_d,Bombilactobacillus
NODE_A13_length_35085_cov_481.664819_CH_17688_aut_mid_d,other
NODE_A13_length_36273_cov_89.250497_NL_20378_spr_rec_d,Lactobacillus
NODE_A13_length_37370_cov_57.068270_CH_17686_sum_rec_d,Bifidobacterium
NODE_A13_length_4127_cov_12.107407_PT_19409_spr_ile_d,other
NODE_A13_length_41620_cov_200.944563_BE_16556_aut_rec_d,other
NODE_A13_length_48065_cov_159.221680_NL_19100_aut_rec_d,Snodgrassella
NODE_A140_length_9824_cov_16.437673_DE_18029_sum_rec_d,Bifidobacterium
NODE_A141_length_5518_cov_15.763646_DE_18030_spr_mid_d,other
NODE_A142_length_4440_cov_5.854458_NL_19104_aut_mid_d,other
NODE_A146_length_2978_cov_5.002413_RO_17378_spr_rec_d,other
NODE_A149_length_2274_cov_17.806554_RO_26022_aut_mid_d,other
NODE_A149_length_3055_cov_11.238079_NL_19100_aut_mid_d,other
NODE_A14_length_16786_cov_56.131486_CH_17687_sum_rec_d,Bifidobacterium
NODE_A14_length_18778_cov_70.057279_RO_17371_sum_rec_d,Bifidobacterium
NODE_A14_length_21502_cov_17.625158_NL_19100_sum_rec_d,other
NODE_A14_length_25900_cov_58.256787_DE_18028_aut_mid_g,Lactobacillus
NODE_A14_length_26582_cov_41.246859_FR_19773_sum_rec_d,Lactobacillus
NODE_A14_length_28333_cov_138.583841_PT_19410_aut_rec_d,Lactobacillus
NODE_A14_length_28576_cov_177.263518_NL_19101_spr_rec_d,Lactobacillus
NODE_A14_length_29611_cov_134.661475_NL_19103_spr_rec_d,Lactobacillus
NODE_A14_length_29697_cov_19.015260_RO_17377_sum_rec_d,Gilliamella
NODE_A14_length_30631_cov_3277.087681_FR_19767_sum_rec_d,Bifidobacterium
NODE_A14_length_32276_cov_18.552657_PT_19412_spr_rec_d,Bifidobacterium
NODE_A14_length_35726_cov_27.047407_BE_16563_sum_rec_d,Bifidobacterium
NODE_A14_length_36689_cov_937.096826_BE_16556_sum_rec_d,Lactobacillus
NODE_A150_length_5380_cov_11.356779_PT_19410_spr_rec_d,other
NODE_A154_length_3052_cov_14.832269_DE_18033_aut_mid_d,other
NODE_A156_length_4617_cov_17.286344_DE_18032_sum_mid_d,other
NODE_A157_length_3821_cov_5.541667_NL_19102_sum_mid_d,other
NODE_A157_length_4546_cov_15.295816_NL_19100_sum_mid_d,other
NODE_A15_length_13643_cov_94.272667_DE_18027_sum_rec_d,Bifidobacterium
NODE_A15_length_18704_cov_26.036633_RO_17371_sum_rec_d,Bifidobacterium
NODE_A15_length_18965_cov_36.127541_PT_19408_sum_rec_d,Bifidobacterium
NODE_A15_length_22625_cov_51.465585_CH_17685_sum_rec_d,Lactobacillus
NODE_A15_length_23271_cov_83.794171_PT_19409_spr_rec_d,Lactobacillus
NODE_A15_length_23817_cov_35.421567_DE_18032_sum_rec_d,other
NODE_A15_length_24585_cov_272.104007_PT_19413_spr_rec_d,Lactobacillus
NODE_A15_length_24928_cov_451.424490_DE_18027_aut_rec_d,Gilliamella
NODE_A15_length_25514_cov_8.696977_FR_19773_sum_rec_d,other
NODE_A15_length_30376_cov_134.426648_FR_19767_sum_rec_d,other
NODE_A15_length_31610_cov_435.156408_CH_17685_aut_rec_d,Bifidobacterium
NODE_A15_length_31737_cov_26.231554_PT_19407_sum_rec_d,Bifidobacterium
NODE_A15_length_32660_cov_483.559924_CH_17688_aut_mid_d,Lactobacillus
NODE_A15_length_35649_cov_18.438575_NL_20378_spr_rec_d,Bartonella
NODE_A15_length_36640_cov_196.086235_BE_16556_sum_rec_d,Bifidobacterium
NODE_A166_length_4569_cov_78.725067_DE_18032_sum_mid_d,other
NODE_A16_length_17473_cov_223.952805_BE_16562_spr_rec_d,Bifidobacterium
NODE_A16_length_18475_cov_231.634471_RO_17371_sum_rec_d,Bifidobacterium
NODE_A16_length_18584_cov_118.987085_RO_26024_aut_rec_d,Bifidobacterium
NODE_A16_length_18868_cov_39.228088_BE_16559_spr_ile_d,Bifidobacterium
NODE_A16_length_19038_cov_4813.699241_UK_14500_aut_rec_d,Bifidobacterium
NODE_A16_length_19073_cov_208.123868_RO_17378_sum_rec_d,Bifidobacterium
NODE_A16_length_19084_cov_1193.661552_BE_16558_aut_rec_d,Bifidobacterium
NODE_A16_length_19797_cov_40.735548_RO_17382_aut_rec_d,Bifidobacterium
NODE_A16_length_23237_cov_69.050950_DE_18028_aut_mid_g,Lactobacillus
NODE_A16_length_28123_cov_22.727697_PT_19412_spr_rec_d,other
NODE_A16_length_28802_cov_273.342942_RO_17377_sum_rec_d,Bombilactobacillus
NODE_A16_length_34127_cov_92.242056_DE_18029_sum_rec_d,Gilliamella
NODE_A16_length_34878_cov_95.620471_NL_20378_spr_rec_d,Lactobacillus
